model_name,run_name,seed,data_root,variant_id,edge_family,chain_k,evaluation_mode,roc_auc,pr_auc,f1,precision,recall,balanced_accuracy,specificity,fpr,selected_threshold,best_epoch,best_val_pr_auc
gnn,20260409_063929_src_plus_dst_plus_svc_k1_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k1,src_plus_dst_plus_svc_k1,src+dst+svc,1,threshold_tuned,0.9996504890126942,0.9987028226349471,0.9366395424145073,0.9969014891961616,0.8832478715170279,0.941304947079099,0.99936202264117,0.0006379773588299439,0.9,28,0.9985445496825276
gnn,20260409_071058_src_plus_dst_plus_svc_k1_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k1,src_plus_dst_plus_svc_k1,src+dst+svc,1,threshold_0_5,0.9994888378063044,0.9980621987959788,0.9792475294677938,0.9642991136331661,0.9946666989164087,0.9930544043973295,0.9914421098782503,0.008557890121749689,0.5,27,0.9984553674198757
gnn,20260409_071058_src_plus_dst_plus_svc_k1_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k1,src_plus_dst_plus_svc_k1,src+dst+svc,1,threshold_tuned,0.9994888378063044,0.9980621987959788,0.9580739518487962,0.9914109794587882,0.9269059597523219,0.9625199028579603,0.9981338459635988,0.0018661540364012456,0.83,27,0.9984553674198757
gnn,20260409_081107_src_plus_dst_plus_svc_k10_seed0,0,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k10,src_plus_dst_plus_svc_k10,src+dst+svc,10,threshold_0_5,0.9998092205398492,0.9992663178896146,0.9946664735978377,0.9924629165863995,0.9968798374613003,0.9975602406984309,0.9982406439355614,0.0017593560644385236,0.5,21,0.9997748341665276
gnn,20260409_081107_src_plus_dst_plus_svc_k10_seed0,0,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k10,src_plus_dst_plus_svc_k10,src+dst+svc,10,threshold_tuned,0.9998092205398492,0.9992663178896146,0.9745618365835597,0.9950473838088517,0.9549027670278638,0.9768991255799668,0.9988954841320697,0.0011045158679302554,0.82,21,0.9997748341665276
gnn,20260409_095433_src_plus_dst_plus_svc_k10_seed1,1,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k10,src_plus_dst_plus_svc_k10,src+dst+svc,10,threshold_0_5,0.9997645745415509,0.9990927880804067,0.9915904538983132,0.9892748808320092,0.9939168924148607,0.9957063805098147,0.9974958686047688,0.0025041313952311895,0.5,20,0.999780766750512
gnn,20260409_095433_src_plus_dst_plus_svc_k10_seed1,1,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k10,src_plus_dst_plus_svc_k10,src+dst+svc,10,threshold_tuned,0.9997645745415509,0.9990927880804067,0.9608351826962148,0.9944744231789536,0.9293972523219814,0.964098590186937,0.9987999280518925,0.0012000719481074275,0.85,20,0.999780766750512
gnn,20260409_113603_src_plus_dst_plus_svc_k10_seed2,2,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k10,src_plus_dst_plus_svc_k10,src+dst+svc,10,threshold_0_5,0.9997778485268207,0.9991194345133838,0.9893736956991053,0.9812532711614408,0.9976296439628483,0.9966001692996709,0.9955706946364934,0.004429305363506571,0.5,13,0.9995550400953288
gnn,20260409_113603_src_plus_dst_plus_svc_k10_seed2,2,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k10,src_plus_dst_plus_svc_k10,src+dst+svc,10,threshold_tuned,0.9997778485268207,0.9991194345133838,0.9822837175430974,0.9942518056020119,0.9706003289473685,0.9846481347501224,0.9986959405528762,0.001304059447123762,0.75,13,0.9995550400953288
gnn,20260409_125051_src_plus_dst_plus_svc_k10_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2A_preprocessed_gnn_variants\src_plus_dst_plus_svc_k10,src_plus_dst_plus_svc_k10,src+dst+svc,10,threshold_0_5,0.9996874165090225,0.9986806387697529,0.9908025247971145,0.98503502187373,0.9966379643962848,0.996559626133704,0.996481287871123,0.0035187121288770473,0.5,19,0.9997759863584873
