model_name,run_name,seed,data_root,variant_id,entity_mode,split_strategy,window_seconds,min_len,max_len_build,max_len,d_model,n_heads,n_layers,dropout,lr,weight_decay,mask_prob_train,mask_prob_score,score_passes,num_candidates,benign_percentile,vhm_weight,evaluation_mode,roc_auc,pr_auc,accuracy,f1,precision,recall,balanced_accuracy,specificity,fpr,fnr,mcc,selected_sequence_threshold,selected_distance_threshold,best_epoch,best_val_pr_auc
logbert,20260506_020529_src_plus_dst_plus_svc_win300_min5_max2048_seed2,2,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,validation_tuned,0.9906535322171045,0.9016684636565845,0.9560687837328982,0.7736093143596378,0.6314677930306231,0.998330550918197,0.9754817792593157,0.9526330076004342,0.04736699239956568,0.0016694490818030022,0.7748337851797196,0.99,1.7580321311950686,2,0.8765585896909022
logbert,20260506_043439_src_plus_dst_plus_svc_win300_min5_max2048_seed2,2,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.0,validation_tuned,0.9024854127128277,0.5956620612756954,0.9927199698757374,0.9536741214057508,0.9142419601837672,0.996661101836394,0.994530333762931,0.9923995656894679,0.0076004343105320294,0.0033388981636060045,0.9507735306467637,0.99,49.85223236083984,5,0.6365137903137141
logbert,20260506_022634_src_plus_dst_plus_svc_win300_min5_max2048_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,train_benign_percentile,0.996215190355261,0.9502244042032414,0.981423371407054,0.8898809523809523,0.8026845637583893,0.998330550918197,0.9891897054265253,0.9800488599348532,0.019951140065146578,0.0016694490818030022,0.8861120575322136,0.9936250269412997,0.7524663448333756,6,0.9604137083813461
logbert,20260506_050142_src_plus_dst_plus_svc_win300_min5_max2048_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.0,train_benign_percentile,0.9643746635271598,0.6307559738149237,0.9248148613028744,0.0,0.0,0.0,0.5,0.9999999999999999,0.0,0.9999999999999983,0.0,1.0,49.84173011779785,3,0.7478980272809955
logbert,20260506_022634_src_plus_dst_plus_svc_win300_min5_max2048_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,validation_tuned,0.996215190355261,0.9502244042032414,0.981297853646291,0.8892193308550186,0.8016085790884718,0.998330550918197,0.9891218444058955,0.9799131378935938,0.02008686210640608,0.0016694490818030022,0.8854564141382129,0.99,0.7524663448333756,6,0.9604137083813461
logbert,20260506_050142_src_plus_dst_plus_svc_win300_min5_max2048_seed3,3,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.0,validation_tuned,0.9643746635271598,0.6307559738149237,0.9887034015313166,0.9295774647887324,0.8748159057437408,0.991652754590985,0.9900581905419638,0.9884636264929423,0.011536373507057544,0.00834724540901501,0.9256073582885349,0.99,49.84173011779785,3,0.7478980272809955
logbert,20260506_025526_src_plus_dst_plus_svc_win300_min5_max2048_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,train_benign_percentile,0.9971871097141635,0.9680386156366673,0.9828040667754487,0.8972243060765192,0.8147138964577657,0.998330550918197,0.9899361766534525,0.9815418023887078,0.01845819761129207,0.0016694490818030022,0.8934092850015487,0.949999988079071,0.5554874539375305,10,0.967939313727871
logbert,20260506_052452_src_plus_dst_plus_svc_win300_min5_max2048_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.0,train_benign_percentile,0.995095653450648,0.9408378731581746,0.9880758127275009,0.9264136328427576,0.8641618497109826,0.998330550918197,0.9927863395199019,0.9872421281216068,0.01275787187839305,0.0016694490818030022,0.9227994556976472,0.9666666388511658,46.75202560424805,4,0.9685731114613197
logbert,20260506_025526_src_plus_dst_plus_svc_win300_min5_max2048_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.1,validation_tuned,0.9971871097141635,0.9680386156366673,0.9856909752730011,0.9128440366972477,0.842031029619182,0.996661101836394,0.990730116607665,0.9847991313789358,0.015200868621064059,0.0033388981636060045,0.908927676705234,0.99,0.5554874539375305,10,0.967939313727871
logbert,20260506_052452_src_plus_dst_plus_svc_win300_min5_max2048_seed4,4,E:\Documents\uni\master\privacy_preserving_intrusion_detection\data\traffic_labelled\2B_preprocessed_logbert,src_plus_dst_plus_svc_win300_min5_max2048,src_plus_dst_plus_svc,deterministic_day_entity_balanced_v1,300,5,2048,75,256,8,4,0.1,0.0002,0.01,0.15,0.5,10,9,99.0,0.0,validation_tuned,0.995095653450648,0.9408378731581746,0.9904606501820008,0.940251572327044,0.888558692421991,0.998330550918197,0.9940756989118673,0.9898208469055373,0.01017915309446254,0.0016694490818030022,0.9369605324724677,0.99,46.75202560424805,4,0.9685731114613197
